Subplot number,Tag,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,,,
92,441,Protium tenuifolium,239,4705,42,5,5,,,,
94,584,Protium tenuifolium,405,4616,11,5,5,,,,
47,4610,Pseudobombax septenatum,992,2302,23,5,100,,,,
28,185883,Quararibea asterolepis,205,1504,12,5,0,,,,
36,171109,Quararibea asterolepis,342,1807,34,5,90,,,,
20,212914,Simarouba amara,217,1014,41,5,0,,,,
36,519112,Simarouba amara,264,1908,34,5,5,,,,
64,13149,Swartzia simplex,226,3123,34,5,20,,,,
69,2466,Swartzia simplex,365,3517,32,5,5,,,,
14,7230,Tabernaemontana arborea,445,712,13,5,50,,,,
18,6779,Tabernaemontana arborea,598,1019,43,5,100,,,,
28,5892,Tabernaemontana arborea,519,1504,33,5,0,,,,
49,147736,Terminalia amazonia,496,2317,14,5,100,,,,
24,6190,Tetragastris panamensis,578,1310,42,5,100,,,,
91,29119,Tetragastris panamensis,224,4620,43,5,50,,,,
24,198553,Trichilia pallida,206,1311,33,5,5,,,,
15,7182,Trichilia tuberculata,292,719,13,5,50,,,,
15,7185,Trichilia tuberculata,376,719,32,5,95,,,,
20,212939,Trichilia tuberculata,227,1015,12,5,10,,,,
20,6756,Trichilia tuberculata,285,1015,13,5,100,,,,
36,166172,Trichilia tuberculata,203,1907,44,5,5,,,,
65,2857,Trichilia tuberculata,363,3312,43,5,5,,,,
77,63996,Trichilia tuberculata,239,3920,44,5,50,,,,
94,594,Trichilia tuberculata,310,4617,13,5,0,,,,
68,87652,Turpinia occidentalis,586,3415,23,5,70,,,,
1,258702,Virola sebifera,202,121,31,5,95,,,,
59,43966,Virola sebifera,317,2912,23,5,5,,,,
68,93038,Xylopia macrantha,206,3314,42,5,75,,,,
83,36175,Xylopia macrantha,220,4407,34,5,90,,,,
1,263448,Zanthoxylum acuminatum,360,20,22,5,100,,,,
74,1840,Alchornea costaricensis,280,3811,43,10,10,,,,
8,7717,Alseis blackiana,499,411,44,10,20,,,,
24,192141,Alseis blackiana,203,1411,33,10,5,,,,
64,3119,Alseis blackiana,330,3223,31,10,90,,,,
77,56972,Beilschmiedia pendula,298,4020,24,10,85,,,,
65,92306,Guatteria dumetorum,200,3311,32,10,100,,,,
64,3131,Gustavia superba,319,3224,31,10,5,,,,
31,5539,Heisteria concinna,290,1708,41,10,0,,,,
59,112521,Hirtella triandra,212,2913,14,10,50,,,,
83,308258,Lacmellea panamensis,299,4306,32,10,5,,,,
90,31319,Lacmellea panamensis,263,4507,11,10,25,,,,
24,5993,Prioria copaifera,695,1411,13,10,100,sub:correcto(1,,,
72,77147,Prioria copaifera,391,3613,11,10,100,,,,
5,8069,Quararibea asterolepis,294,212,32,10,100,,,,
68,87724,Simarouba amara,255,3415,34,10,100,,,,
28,180878,Tabernaemontana arborea,259,1604,23,10,20,,,,
14,7233,Tetragastris panamensis,500,712,32,10,100,,,,
47,4608,Tetragastris panamensis,367,2302,41,10,5,sub:correcto(1,,,
49,4728,Tetragastris panamensis,427,2216,13,10,100,,,,
59,3734,Tetragastris panamensis,610,2812,42,10,80,,,,
11,7598,Trichilia tuberculata,423,506,12,10,100,,,,
