Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination
5046,2015,GUAZUL,81,26.9,3,1,3
67808,3814,GUSTSU,23,11.7,3,2,3
5607,1600,GUSTSU,29.3,13.1,3,0,2
5258,1902,GUSTSU,20.9,13.3,4,3,2
309,4824,GUSTSU,25.7,13.5,4,1,3
2697,3417,GUSTSU,25.2,13.6,4,4,2
67800,3814,GUSTSU,22.5,13.7,4,0,3
13148,3021,GUSTSU,25.6,14,4,2,3
3685,2805,GUSTSU,24.2,14.2,4,0,2
2860,3311,GUSTSU,24.3,14.5,4,2,2
99140,3221,GUSTSU,22.5,14.9,4,3,2
3106,3221,GUSTSU,29,14.9,4,4,4
803,4505,GUSTSU,23.5,15.1,4,2,2
3104,3221,GUSTSU,25.8,15.5,4,4,4
3455,3022,GUSTSU,33.5,16.4,4,3,3
128098,4917,GUSTSU,21.3,16.9,4,3,2
94029,3320,GUSTSU,23.1,17.4,4,4,3
3093,3220,GUSTSU,35.7,17.4,4,4,4
46,4917,GUSTSU,32.5,17.5,3,4,2
104694,3123,GUSTSU,21.7,17.6,4,4,3
2698,3417,GUSTSU,27.8,17.8,4,3,5
5596,1700,GUSTSU,31.2,18.2,4,3,3
3105,3221,GUSTSU,28,18.4,4,4,4
2685,3415,GUSTSU,39.5,23.2,4,3,4
704452,424,HAMPAP,26.9,20.1,4,1,3
194279,1424,HASSFL,21.9,13.5,4,4,2
101589,3107,HASSFL,24,14.6,4,4,3
141568,2408,HEISCO,25.4,13.5,4,4,3
792,4506,HEISCO,23.7,14.9,4,4,3
5651,1607,HEISCO,26,14.9,4,2,3
443,4704,HEISCO,29.4,18.9,4,0,2
8212,120,HEISCO,38.9,19,4,2,3
5318,1808,HEISCO,36.5,20.9,4,0,3
10738,4812,HIRTTR,25.7,13.1,4,2,3
30233,4501,HIRTTR,21,13.7,4,1,2
4765,2221,HIRTTR,21.7,14.3,4,1,1
36918,4412,HIRTTR,23.4,14.5,4,0,3
146744,2309,HIRTTR,21,14.6,4,4,3
136162,2507,HIRTTR,20.9,14.7,4,4,3
8534,23,HIRTTR,24.3,15.2,2,4,2
4522,2317,HIRTTR,24.8,16.2,2,0,2
2271,3603,HIRTTR,21.5,16.7,4,0,2
12294,4820,HIRTTR,22,17,4,1,2
80867,3504,HIRTTR,23.7,17,3,2,2
948,4417,HIRTTR,31.2,20,4,4,3
38247,4419,HIRTTR,21.2,20.1,4,1,2
1239,4209,HIRTTR,34.2,21.9,4,2,2
522,4605,HURACR,43.2,21.1,4,4,2
2838,3314,HURACR,56.5,23,4,4,4
2180,3709,HURACR,84.8,30.5,4,1,4
4891,2111,HURACR,108.9,30.5,4,4,4
3525,2918,HURACR,81.5,31.2,4,4,4
507,4604,HURACR,72,31.3,4,4,3
3511,2920,HURACR,87,31.6,4,4,5
403,4710,HURACR,89,31.7,4,3,5
1879,3906,HURACR,92.2,32.1,4,4,4
3868,2715,HURACR,60.5,32.2,4,3,4
102,4909,HURACR,109,32.5,4,3,4
1823,3914,HURACR,106,32.7,4,3,4
861,4404,HURACR,134,32.9,3,4,4
235,4812,HURACR,69.8,33.3,4,3,4
2645,3409,HURACR,88.7,33.4,4,1,4
6907,911,HURACR,119,33.7,4,2,4
267,4816,HURACR,74.4,33.9,4,2,4
962,4419,HURACR,108.6,34,4,4,4
7020,804,HURACR,93.4,34.3,4,3,4
1333,4220,HURACR,182,34.7,3,3,4
3863,2715,HURACR,98,35.8,4,0,4
4669,2206,HURACR,108.5,36.2,4,1,4
4203,2510,HURACR,116.5,36.6,4,1,5
5263,1900,HURACR,118.6,36.6,4,1,4
6208,1308,HURACR,123.5,36.9,4,0,4
932,4415,HURACR,122.8,37.7,4,1,5
7013,803,HURACR,87.6,38.3,4,3,4
3632,2902,HURACR,100.9,38.4,4,0,4
1507,4106,HURACR,152.2,38.5,4,3,4
2045,3820,HURACR,146.4,39.1,4,0,5
1904,3902,HURACR,218,39.4,4,0,4
4700,2211,HURACR,129.9,39.6,4,0,4
3765,2817,HURACR,156.9,39.8,4,1,4
1737,4023,HURACR,131,40.5,4,4,4
1955,3806,HURACR,152.9,41.1,4,1,5
3273,3103,HURACR,156.7,41.6,4,3,5
4052,2615,HURACR,154.2,42.6,4,0,4
1357,4223,HURACR,127.5,43.5,3,1,4
3650,2801,HURACR,130.4,43.6,4,0,4
2314,3610,HYERAL,59.3,24.3,4,1,3
4789,2223,HYERAL,49.3,25.4,4,1,3
1957,3806,HYERAL,73,26.9,4,1,4
7916,308,HYERAL,48.4,30.9,2,2,4
5202,1910,HYERAL,91.2,31.6,4,1,4
5331,1811,HYERAL,95,32.1,4,1,4
3107,3222,HYERAL,84.5,33.1,4,2,4
3971,2602,HYERAL,83.5,35.4,4,0,4
4301,2401,HYERAL,87.8,36.4,4,3,4
4043,2614,HYERAL,83,36.9,4,0,4
2920,3303,HYERAL,88.7,39.8,2,1,4
239719,424,INGAGO,20.1,13.3,4,3,2
194349,1424,INGAMA,39,21.1,4,1,3
39119,4423,INGAMA,29.5,22.1,3,1,2
446310,4609,INGAMA,35.6,23.5,4,0,4
146601,2309,INGAMA,46,25.6,3,1,3
82303,3513,INGAMA,39.9,25.8,4,0,5
167114,1916,INGASA,28.9,20.2,2,0,3
76575,3609,INGASA,29.5,20.7,4,1,3
253219,216,INGASP,31.9,21.7,4,4,4
421138,2103,JAC1CO,20.4,16.8,4,0,2
246710,309,JAC1CO,31.8,18.3,4,4,3
7508,519,JAC1CO,36.3,23.7,1,4,3
160,4900,JAC1CO,48.1,24.9,4,0,4
228686,720,JAC1CO,31,25.5,4,1,3
257705,115,JAC1CO,50.5,26.1,4,0,4
194113,1423,JAC1CO,32.8,26.5,4,0,4
206389,1108,JAC1CO,27.5,26.7,4,0,4
415,4709,JAC1CO,57.8,27.3,4,4,5
155642,2104,JAC1CO,44.2,27.4,4,0,4
6091,1424,JAC1CO,53.5,27.8,4,0,4
5390,1819,JAC1CO,60.5,28.2,4,0,4
7579,508,JAC1CO,55.3,28.5,2,2,4
486,4600,JAC1CO,66.3,28.5,4,0,4
185937,1504,JAC1CO,42.8,28.9,4,0,4
206350,1108,JAC1CO,47.8,29.1,4,0,4
192,4804,JAC1CO,56.6,29.1,4,0,4
180870,1604,JAC1CO,48.6,29.7,4,0,4
6075,1423,JAC1CO,52.8,29.8,4,0,4
41726,4310,JAC1CO,46,29.9,4,0,5
156239,2107,JAC1CO,50.4,29.9,4,0,4
5669,1611,JAC1CO,65.8,29.9,4,0,4
155636,2104,JAC1CO,45.6,30.4,4,0,4
1113,4309,JAC1CO,48.8,30.9,3,3,3
155537,2103,JAC1CO,44.7,31.4,4,0,4
6081,1423,JAC1CO,54.1,31.5,4,1,4
1237,4209,JAC1CO,63.3,31.6,4,0,4
86,4911,JAC1CO,50.4,31.9,4,0,4
6277,1201,JAC1CO,83.6,31.9,4,0,5
5041,2015,JAC1CO,66.2,32.2,4,0,4
5637,1604,JAC1CO,81,32.9,2,0,4
191432,1407,JAC1CO,59.6,33.1,4,0,5
5885,1505,JAC1CO,66.9,33.1,4,0,5
6901,912,JAC1CO,63.2,33.9,4,1,4
6898,912,JAC1CO,58.4,34.1,4,0,4
7503,520,JAC1CO,73.6,34.1,4,0,4
7386,612,JAC1CO,63.9,34.5,4,1,4
6802,1022,JAC1CO,85.2,35.9,4,0,4
8302,107,JAC1CO,89.5,35.9,4,0,5
7708,410,JAC1CO,80.6,36.7,4,0,5
66921,3810,LACMPA,24,18.5,4,0,3
157112,2114,LACMPA,26.7,20.2,4,1,3
25239,4601,LACMPA,33.8,21.5,4,4,3
5528,1710,LAETPR,63.5,28.3,3,1,4
202848,1216,LAFOPU,30,22.1,4,4,3
57,4915,LICAPL,78.3,32.7,3,4,4
45630,4803,LINDLA,21.3,11.3,3,0,1
5640,1605,LINDLA,31.8,17.5,4,4,3
161925,2010,LINDLA,21.5,17.6,4,1,2
64185,3921,LONCLA,27.9,26.1,4,0,4
